image,pred_text,confidence,plate_valid,plate_format,region_valid,postprocess_score,normalization_steps,status,visualization
test_img_1.jpg,828ARB09,0.8056,True,std_private,True,105,"upper_strip,drop_non_alnum,normalize_kz_pattern",ok,outputs/new_images_vis/test_img_1.jpg
test_img_10.jpg,491AEO19,0.9516,True,std_private,True,105,"drop_suffix_kz,normalize_kz_pattern",ok,outputs/new_images_vis/test_img_10.jpg
test_img_2.jpg,401AGO15,0.4672,True,std_private,True,105,upper_strip,ok,outputs/new_images_vis/test_img_2.jpg
test_img_3.jpg,771AFM18,0.8824,True,std_private,True,105,,ok,outputs/new_images_vis/test_img_3.jpg
test_img_4.jpg,146ADZ12,0.8157,True,std_private,True,105,,ok,outputs/new_images_vis/test_img_4.jpg
test_img_5.jpg,688ACJ15,0.8131,True,std_private,True,105,,ok,outputs/new_images_vis/test_img_5.jpg
test_img_6.jpg,352AYQ13,0.9027,True,std_private,True,105,,ok,outputs/new_images_vis/test_img_6.jpg
test_img_7.webp,308BAZ10,0.8945,True,std_private,True,105,drop_prefix_kz,ok,outputs/new_images_vis/test_img_7.webp
test_img_8.jpg,757MEA01,0.8895,True,std_private,True,105,,ok,outputs/new_images_vis/test_img_8.jpg
test_img_9.jpg,525OXA12,0.8975,True,std_private,True,105,normalize_kz_pattern,ok,outputs/new_images_vis/test_img_9.jpg
